V,Cr,Ti,W,Zr,x_V,x_Cr,x_Ti,x_W,x_Zr,phase_count,dominant_phase,single_phase,phases,iter
0.848,0.052000000000000005,0.025,0.07100000000000001,0.004,0.848,0.052000000000000005,0.025,0.07100000000000001,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9954443080667844, ""FCC_L12#1"": 0.0007208458356206806, ""HCP_A3#1"": 0.0004981302816610137, ""HCP_A3#2"": 0.0027038084661474785, ""ZRO2_MONO#1"": 0.0006329073497864314}",14
0.977,0.004,0.007,0.006,0.006,0.977,0.004,0.007,0.006,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949654341540531, ""FCC_L12#1"": 0.0006306571357211869, ""HCP_A3#1"": 0.0018395581023945922, ""HCP_A3#2"": 0.0025643506078312493}",14
0.957,0.018000000000000002,0.007,0.007,0.011,0.957,0.018000000000000002,0.007,0.007,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9864653661628174, ""C15_LAVES#1"": 0.007883207936734618, ""FCC_L12#1"": 0.0006454965457069921, ""HCP_A3#1"": 0.002108481158844401, ""HCP_A3#2"": 0.0028974481958965875}",14
0.949,0.005,0.012,0.027,0.007,0.949,0.005,0.012,0.027,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9944224833736202, ""FCC_L12#1"": 0.000670159830778642, ""HCP_A3#1"": 0.0020625472875155358, ""HCP_A3#2"": 0.0028448095080855253}",14
0.8130000000000001,0.020000000000000004,0.07700000000000001,0.08600000000000002,0.004000000000000001,0.8130000000000001,0.020000000000000004,0.07700000000000001,0.08600000000000002,0.004000000000000001,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9953635068329055, ""FCC_L12#1"": 0.0007422634652638605, ""HCP_A3#1"": 0.0003745732274635876, ""HCP_A3#2"": 0.0028085906418896154, ""ZRO2_MONO#1"": 0.000711065832477489}",14
0.967,0.006,0.015,0.004,0.008,0.967,0.006,0.015,0.004,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9945120458124113, ""FCC_L12#1"": 0.0006370457315150797, ""HCP_A3#1"": 0.0020380088934138503, ""HCP_A3#2"": 0.002812899562659836}",14
0.971,0.007,0.004,0.011,0.007,0.971,0.007,0.004,0.011,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9946312725432012, ""FCC_L12#1"": 0.0006447724295442722, ""HCP_A3#1"": 0.0027392697663662867, ""HCP_A3#2"": 0.00198468526088835}",14
0.955,0.007,0.018000000000000002,0.011,0.009000000000000001,0.955,0.007,0.018000000000000002,0.011,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9941591190766423, ""FCC_L12#1"": 0.0006522846346253344, ""HCP_A3#1"": 0.002185584852285421, ""HCP_A3#2"": 0.0030030114364472038}",14
0.805,0.031,0.029,0.106,0.029,0.805,0.031,0.029,0.106,0.029,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9263155779068224, ""C15_LAVES#1"": 0.06713431895831089, ""FCC_L12#1"": 0.0008048065989994851, ""HCP_A3#1"": 0.002412917812717416, ""HCP_A3#2"": 0.00333237872314972}",14
0.967,0.004,0.009000000000000001,0.004,0.016,0.967,0.004,0.009000000000000001,0.004,0.016,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9785337278059437, ""C15_LAVES#1"": 0.015111126287718634, ""FCC_L12#1"": 0.0006499852403051475, ""HCP_A3#1"": 0.002420705039700127, ""HCP_A3#2"": 0.003284455626332518}",14
0.98,0.004,0.006,0.005,0.005,0.98,0.004,0.006,0.005,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9952695726525829, ""FCC_L12#1"": 0.0006219508140524639, ""HCP_A3#1"": 0.001692893111208926, ""HCP_A3#2"": 0.002415583422155674}",14
