time_years,activity_bqkg,dose_sv_hr
1.00e-04,1.73e+14,4.55e+02
1.81e-04,1.72e+14,3.42e+02
3.28e-04,1.71e+14,3.29e+02
5.95e-04,1.69e+14,3.15e+02
1.08e-03,1.65e+14,2.93e+02
1.95e-03,1.60e+14,2.59e+02
3.53e-03,1.51e+14,2.08e+02
6.40e-03,1.38e+14,1.40e+02
1.16e-02,1.23e+14,6.82e+01
2.10e-02,1.08e+14,1.89e+01
3.81e-02,9.18e+13,2.30e+00
6.90e-02,7.21e+13,5.24e-01
1.25e-01,4.81e+13,3.80e-01
2.26e-01,2.57e+13,2.47e-01
4.10e-01,1.22e+13,1.28e-01
7.43e-01,6.80e+12,4.45e-02
1.35e+00,3.75e+12,7.09e-03
2.44e+00,1.51e+12,2.78e-04
4.42e+00,3.20e+11,1.29e-05
8.00e+00,2.32e+10,1.10e-05
1.45e+01,2.31e+09,9.59e-06
2.63e+01,1.12e+09,7.48e-06
4.76e+01,3.41e+08,4.78e-06
8.62e+01,4.03e+07,2.13e-06
1.56e+02,1.20e+06,4.91e-07
2.83e+02,3.96e+04,3.41e-08
5.12e+02,5.34e+03,2.78e-10
9.28e+02,1.79e+03,4.45e-14
1.68e+03,3.23e+02,6.17e-21
3.05e+03,8.19e+01,1.79e-23
5.52e+03,7.34e+01,1.79e-23
1.00e+04,7.12e+01,1.79e-23
