V,Cr,Ti,W,Zr,dose_d30,dose_d365,dose_d1825,dose_d36500,He_2y,H_2y,dose_d30_pass,dose_d365_pass,dose_d1825_pass,dose_d36500_pass,He_2y_pass,H_2y_pass,all_pass
0.847,0.115,0.013000000000000001,0.004,0.021,737.4952886860369,0.033143632854925935,4.060326263824414e-06,3.816156738327497e-07,274.9528152593832,773.4032432107066,True,True,True,True,True,True,True
0.8069999999999999,0.116,0.002,0.038,0.037,1169.9351477743141,0.08652688579659819,8.254116233900229e-06,5.55181403853528e-08,263.3793375065567,743.840791786428,False,True,True,True,True,True,False
0.9279999999999999,0.014,0.003,0.01,0.045,1531.1401923889432,0.06171727078934367,3.176182494477449e-06,8.823385106343317e-08,245.5777986849243,644.1271273660609,False,True,True,True,True,True,False
0.956,0.003,0.011,0.005,0.025,876.626273541354,0.038052398547110934,3.7209747562662927e-06,3.234458177489084e-07,247.75851177405693,643.4378768699712,True,True,True,True,True,True,True
0.85,0.066,0.044,0.023,0.017,570.1306000071964,0.06544506988368981,1.4142005729815857e-05,1.2275518011214877e-06,267.469644264923,732.2121819292216,True,True,True,True,True,True,True
0.963,0.001,0.003,0.015,0.018000000000000002,616.8241065166344,0.041525321547220044,4.019050603483645e-06,8.899873737712189e-08,243.5061358914414,629.6831002231731,True,True,True,True,True,True,True
0.852,0.051000000000000004,0.017,0.033,0.047,1499.5301216407122,0.09526000516190772,1.0304939885380511e-05,4.542058583254298e-07,252.4246670108082,683.8406480928776,False,True,True,True,True,True,False
0.964,0.007,0.019,0.006,0.004,142.48842640400068,0.02059905924163896,5.586502875968969e-06,5.635015628810098e-07,252.15539658351565,656.4122148498758,True,True,True,True,True,True,True
0.914,0.022,0.001,0.023,0.04,1317.6777452334065,0.07207603421904105,5.26929056835811e-06,3.077329971601931e-08,244.3619760682641,644.6052073967464,False,True,True,True,True,True,False
0.842,0.051000000000000004,0.059000000000000004,0.03,0.018000000000000002,592.6874775290687,0.08011835422881584,1.8342500330328226e-05,1.616054408350335e-06,266.1515934801719,723.1070624329748,True,True,True,True,True,True,True
0.962,0.001,0.009000000000000001,0.028,0.0,0.9532300175482032,0.04297454961366418,7.713961161360084e-06,2.541510078927685e-07,243.4925136065724,629.1188302722712,True,True,True,True,True,True,True
0.846,0.059000000000000004,0.054,0.019,0.022,743.472772314135,0.06894348361536926,1.5549847156944475e-05,1.5172725532631216e-06,268.9246780304121,734.0917765313068,True,True,True,True,True,True,True
0.868,0.018000000000000002,0.065,0.026000000000000002,0.023,763.59760046065,0.08233397928440747,1.8920018196526044e-05,1.7950269348884406e-06,260.5142864568949,692.2008397788325,True,True,True,True,True,True,True
0.891,0.03,0.002,0.05,0.027,836.5174804907392,0.09105178539896325,1.0189242077411566e-05,5.473927290721151e-08,241.35568270543524,640.2977503026483,True,True,True,True,True,True,True
0.959,0.021,0.003,0.0,0.017,607.7877667937587,0.019527134645942835,8.687209158226974e-07,9.270250083998436e-08,251.66480535521333,661.3007019138136,True,True,True,True,True,True,True
0.945,0.009000000000000001,0.024,0.008,0.014,491.23805075004765,0.035730129643018034,7.118774704783552e-06,7.015094844880677e-07,252.67161568946733,660.3602144949929,True,True,True,True,True,True,True
0.87,0.038,0.04,0.033,0.019,619.8499893473237,0.07791665700397013,1.4940802235308031e-05,1.0872455577173273e-06,257.4773308874536,691.0700024128292,True,True,True,True,True,True,True
0.983,0.001,0.001,0.002,0.013000000000000001,463.90587275699653,0.017471037718351082,8.163687392742765e-07,3.351236899689221e-08,246.33924880878112,636.2634920708464,True,True,True,True,True,True,True
0.971,0.006,0.001,0.001,0.021,746.6902399344848,0.0244778892729924,6.581622985988699e-07,3.334499184137808e-08,247.10740952101042,641.5642968944395,True,True,True,True,True,True,True
0.876,0.002,0.019,0.08600000000000001,0.017,487.286710529274,0.12387365100208725,1.8614031241954605e-05,4.571693248538973e-07,231.7757764761218,602.413589800474,True,True,True,True,True,True,True
0.8200000000000001,0.06,0.032,0.054,0.034,1037.876377455092,0.11089175605393797,1.6539130178969765e-05,8.168235050768824e-07,254.61424242974707,695.5165946392601,False,True,True,True,True,True,False
0.859,0.016,0.009000000000000001,0.094,0.022,616.094517438156,0.13169898720954104,1.787667342142731e-05,2.1331733987569145e-07,230.2646215525918,604.9465715588765,True,True,True,True,True,True,True
0.912,0.014,0.046,0.019,0.009000000000000001,308.0572778070827,0.053481706209720814,1.3864537054608192e-05,1.3075501271807122e-06,257.38005691106787,678.04199174843,True,True,True,True,True,True,True
0.831,0.07100000000000001,0.054,0.007,0.037,1277.3722934886025,0.06860710429294282,1.3439766595732483e-05,1.5486082882683526e-06,273.2886540522703,752.9313018354441,False,True,True,True,True,True,False
0.885,0.017,0.057,0.01,0.031,1068.5856693788382,0.06772113197899324,1.45886426627445e-05,1.6325664184350437e-06,261.2418879172784,692.968697390598,False,True,True,True,True,True,False
0.903,0.007,0.001,0.073,0.016,472.817396393813,0.10516615044203789,1.3557145753073082e-05,2.7661923355042037e-08,231.35483722477352,601.2323855911759,True,True,True,True,True,True,True
0.967,0.0,0.001,0.001,0.031,1094.047997998482,0.034946383158166554,7.310903167199539e-07,3.308349450862969e-08,244.93132849701342,633.5412025716558,False,True,True,True,True,True,False
0.996,0.0,0.0,0.0,0.004,144.57912968250736,0.004392596077848466,6.333050236356583e-08,4.051714712247209e-09,247.00192393576432,636.5681836102747,True,True,True,True,True,True,True
0.905,0.041,0.011,0.019,0.024,808.6509467901086,0.055437141614684,6.549234424198309e-06,3.110629695562877e-07,253.52183766456557,678.5665641580484,True,True,True,True,True,True,True
