first_wall_cm,vessel_cm,metric,material,species,relative_deviation
0.1,0.5,flux,,,0.4917155276087734
0.1,1.0,flux,,,0.026649204646500054
0.1,2.0,flux,,,0.9740319700402897
0.1,5.0,flux,,,3.7986361068927588
0.2,0.5,flux,,,0.49530109678726614
0.2,1.0,flux,,,0.0
0.2,2.0,flux,,,0.9642604432202954
0.2,5.0,flux,,,3.7801679188606223
0.5,0.5,flux,,,0.5062664075599481
0.5,1.0,flux,,,0.06472310029919603
0.5,2.0,flux,,,0.9383424872542244
0.5,5.0,flux,,,3.7657604451574587
1.0,0.5,flux,,,0.5291257678526792
1.0,1.0,flux,,,0.16180465832764998
1.0,2.0,flux,,,0.9231914371824613
1.0,5.0,flux,,,3.7608446789531147
0.1,0.5,activity_total,V-4Cr-4Ti,,0.0603883724485329
0.1,1.0,activity_total,V-4Cr-4Ti,,0.0007970398169237742
0.1,2.0,activity_total,V-4Cr-4Ti,,0.07093717053302577
0.1,5.0,activity_total,V-4Cr-4Ti,,0.11077808879194613
0.2,0.5,activity_total,V-4Cr-4Ti,,0.059338684589702734
0.2,1.0,activity_total,V-4Cr-4Ti,,0.0
0.2,2.0,activity_total,V-4Cr-4Ti,,0.07433205474914385
0.2,5.0,activity_total,V-4Cr-4Ti,,0.13006699357783458
0.5,0.5,activity_total,V-4Cr-4Ti,,0.08051500902828171
0.5,1.0,activity_total,V-4Cr-4Ti,,0.0024338776989757047
0.5,2.0,activity_total,V-4Cr-4Ti,,0.08501672319589951
0.5,5.0,activity_total,V-4Cr-4Ti,,0.14007621728916342
1.0,0.5,activity_total,V-4Cr-4Ti,,0.1168571628666395
1.0,1.0,activity_total,V-4Cr-4Ti,,0.028150470506623435
1.0,2.0,activity_total,V-4Cr-4Ti,,0.07270867221847581
1.0,5.0,activity_total,V-4Cr-4Ti,,0.1480093281657937
0.1,0.5,gas_production,V-4Cr-4Ti,He,0.04235473500751208
0.1,0.5,gas_production,V-4Cr-4Ti,H,0.04624228177610144
0.1,1.0,gas_production,V-4Cr-4Ti,He,0.015784463364230786
0.1,1.0,gas_production,V-4Cr-4Ti,H,0.016794324686836268
0.1,2.0,gas_production,V-4Cr-4Ti,He,0.03690978800087012
0.1,2.0,gas_production,V-4Cr-4Ti,H,0.0407829371934866
0.1,5.0,gas_production,V-4Cr-4Ti,He,0.18097320094925456
0.1,5.0,gas_production,V-4Cr-4Ti,H,0.18669160167774534
0.2,0.5,gas_production,V-4Cr-4Ti,He,0.02755140312807595
0.2,0.5,gas_production,V-4Cr-4Ti,H,0.030157897586786928
0.2,1.0,gas_production,V-4Cr-4Ti,He,0.0
0.2,1.0,gas_production,V-4Cr-4Ti,H,0.0
0.2,2.0,gas_production,V-4Cr-4Ti,He,0.05162352320544915
0.2,2.0,gas_production,V-4Cr-4Ti,H,0.05589278530844896
0.2,5.0,gas_production,V-4Cr-4Ti,He,0.1939309246858957
0.2,5.0,gas_production,V-4Cr-4Ti,H,0.1996662284044735
0.5,0.5,gas_production,V-4Cr-4Ti,He,0.016735433811595743
0.5,0.5,gas_production,V-4Cr-4Ti,H,0.016085592741287694
0.5,1.0,gas_production,V-4Cr-4Ti,He,0.043938248486308576
0.5,1.0,gas_production,V-4Cr-4Ti,H,0.045725641057231564
0.5,2.0,gas_production,V-4Cr-4Ti,He,0.09414397059007722
0.5,2.0,gas_production,V-4Cr-4Ti,H,0.09896636252719815
0.5,5.0,gas_production,V-4Cr-4Ti,He,0.23121656635856105
0.5,5.0,gas_production,V-4Cr-4Ti,H,0.2367594153696783
1.0,0.5,gas_production,V-4Cr-4Ti,He,0.08771270816476986
1.0,0.5,gas_production,V-4Cr-4Ti,H,0.08933162793681598
1.0,1.0,gas_production,V-4Cr-4Ti,He,0.11370853442388465
1.0,1.0,gas_production,V-4Cr-4Ti,H,0.11660900303460112
1.0,2.0,gas_production,V-4Cr-4Ti,He,0.16152080647248285
1.0,2.0,gas_production,V-4Cr-4Ti,H,0.1662870168168508
1.0,5.0,gas_production,V-4Cr-4Ti,He,0.2902811502335989
1.0,5.0,gas_production,V-4Cr-4Ti,H,0.29538953632802084
