particles,batches,metric,material,relative_deviation
1000,10,flux,,0.04235714061037348
1000,50,flux,,0.019446739136092718
1000,100,flux,,0.013930476540891896
10000,10,flux,,0.013930476540891896
10000,50,flux,,0.005566428274136771
10000,100,flux,,0.003944834760493006
100000,10,flux,,0.003944834760493006
100000,50,flux,,0.001185609628201436
100000,100,flux,,0.0
1000,10,activity_total,V,0.010129169513476538
1000,10,activity_total,Zr,0.03136955537620452
1000,10,activity_total,W,0.004814568564459054
1000,50,activity_total,V,0.017283503756337713
1000,50,activity_total,Zr,0.019044341104395394
1000,50,activity_total,W,0.016821574694142215
1000,100,activity_total,V,0.005996090081371244
1000,100,activity_total,Zr,0.0070775735822679944
1000,100,activity_total,W,0.002441828378256471
10000,10,activity_total,V,0.0059960900813616136
10000,10,activity_total,Zr,0.00707757358217387
10000,10,activity_total,W,0.002441828378223894
10000,50,activity_total,V,0.0011378915165589551
10000,50,activity_total,Zr,0.0019152849243624748
10000,50,activity_total,W,0.0026034661001618003
10000,100,activity_total,V,0.00019469875444552576
10000,100,activity_total,Zr,0.001333134331397958
10000,100,activity_total,W,0.0001264612977787024
100000,10,activity_total,V,0.00019469875457184258
100000,10,activity_total,Zr,0.0013331343307096525
100000,10,activity_total,W,0.00012646129766738788
100000,50,activity_total,V,0.0006220189419207028
100000,50,activity_total,Zr,0.00037611267638760896
100000,50,activity_total,W,0.0003490350951561485
100000,100,activity_total,V,0.0
100000,100,activity_total,Zr,0.0
100000,100,activity_total,W,0.0
