timestep_days,metric,target,material,relative_deviation
5.0,dose_rate,100y,V-4Cr-4Ti,0.0
15.0,dose_rate,100y,V-4Cr-4Ti,5.052281915967363e-12
30.0,dose_rate,100y,V-4Cr-4Ti,2.3099884271175366e-12
60.0,dose_rate,100y,V-4Cr-4Ti,1.0623050774415908e-11
90.0,dose_rate,100y,V-4Cr-4Ti,5.0864755366693525e-12
182.5,dose_rate,100y,V-4Cr-4Ti,5.0754847300151415e-12
365.0,dose_rate,100y,V-4Cr-4Ti,5.070774384306194e-12
5.0,dose_rate,30d,V-4Cr-4Ti,0.0
15.0,dose_rate,30d,V-4Cr-4Ti,1.0564833188932212e-15
30.0,dose_rate,30d,V-4Cr-4Ti,3958182.7472637137
60.0,dose_rate,30d,V-4Cr-4Ti,3958182.7472594264
90.0,dose_rate,30d,V-4Cr-4Ti,3958182.747263716
182.5,dose_rate,30d,V-4Cr-4Ti,3958182.7472600075
365.0,dose_rate,30d,V-4Cr-4Ti,3958182.7472600476
5.0,dose_rate,1y,V-4Cr-4Ti,0.0
15.0,dose_rate,1y,V-4Cr-4Ti,1.320414537209951e-13
30.0,dose_rate,1y,V-4Cr-4Ti,6.133682394134064e-14
60.0,dose_rate,1y,V-4Cr-4Ti,8.564851052172656e-14
90.0,dose_rate,1y,V-4Cr-4Ti,4.706207218771954e-14
182.5,dose_rate,1y,V-4Cr-4Ti,19.267359879250535
365.0,dose_rate,1y,V-4Cr-4Ti,80221933.47391129
5.0,dose_rate,5y,V-4Cr-4Ti,0.0
15.0,dose_rate,5y,V-4Cr-4Ti,8.06272839640745e-12
30.0,dose_rate,5y,V-4Cr-4Ti,5.623042168192901e-11
60.0,dose_rate,5y,V-4Cr-4Ti,4.121091601713766e-14
90.0,dose_rate,5y,V-4Cr-4Ti,4.823531665225877e-11
182.5,dose_rate,5y,V-4Cr-4Ti,4.824468276953539e-11
365.0,dose_rate,5y,V-4Cr-4Ti,6.500085389975803e-14
5.0,gas_production,He,V-4Cr-4Ti,0.0
5.0,gas_production,H,V-4Cr-4Ti,0.0
15.0,gas_production,He,V-4Cr-4Ti,0.0137955670114438
15.0,gas_production,H,V-4Cr-4Ti,0.013903705526249513
30.0,gas_production,He,V-4Cr-4Ti,0.033722966994190647
30.0,gas_production,H,V-4Cr-4Ti,0.033982270694545874
60.0,gas_production,He,V-4Cr-4Ti,0.07125750601962176
60.0,gas_production,H,V-4Cr-4Ti,0.07178529234398628
90.0,gas_production,He,V-4Cr-4Ti,0.10598713042264259
90.0,gas_production,H,V-4Cr-4Ti,0.106744317643771
182.5,gas_production,He,V-4Cr-4Ti,0.2468291455769567
182.5,gas_production,H,V-4Cr-4Ti,0.24832670262896497
365.0,gas_production,He,V-4Cr-4Ti,0.49931165205855155
365.0,gas_production,H,V-4Cr-4Ti,0.5013537192225516
