V,Cr,Ti,W,Zr,phases,slice_V,slice_Zr,temperature_k
0.92,0.0,0.0,0.075,0.005,"{""BCC_B2#1"": 0.9941747908441335, ""FCC_L12#1"": 0.0007365879725329016, ""HCP_A3#2"": 0.002132448365728771, ""HCP_A3#3"": 0.0029561728176049546}",0.92,0.005,773.0
0.9199999999999999,0.0,0.005,0.07,0.005,"{""BCC_B2#1"": 0.9942225559264576, ""FCC_L12#1"": 0.0007287953382255776, ""HCP_A3#1"": 0.0029336457261967945, ""HCP_A3#2"": 0.0021150030091203016}",0.92,0.005,773.0
0.92,0.0,0.01,0.065,0.005,"{""BCC_B2#1"": 0.9942718554841664, ""FCC_L12#1"": 0.0007209568787394252, ""HCP_A3#1"": 0.002910251568793581, ""HCP_A3#2"": 0.0020969360683003183}",0.92,0.005,773.0
0.92,0.0,0.015,0.06,0.005,"{""BCC_B2#1"": 0.9943226839752624, ""FCC_L12#1"": 0.000713074161071709, ""HCP_A3#1"": 0.0020782468189543806, ""HCP_A3#2"": 0.002885995044711613}",0.92,0.005,773.0
0.92,0.0,0.02,0.055,0.005,"{""BCC_B2#1"": 0.9943750338948358, ""FCC_L12#1"": 0.0007051487485739004, ""HCP_A3#1"": 0.002058934480742674, ""HCP_A3#2"": 0.0028608828758475294}",0.92,0.005,773.0
0.9199999999999999,0.0,0.025,0.05,0.005,"{""BCC_B2#1"": 0.9944288962458815, ""FCC_L12#1"": 0.0006971822127437176, ""HCP_A3#1"": 0.0028349241403114503, ""HCP_A3#2"": 0.002038997401063472}",0.92,0.005,773.0
0.92,0.0,0.03,0.045,0.005,"{""BCC_B2#1"": 0.9944842614981103, ""FCC_L12#1"": 0.0006891761472151877, ""HCP_A3#1"": 0.002018431711661751, ""HCP_A3#2"": 0.002808130643012893}",0.92,0.005,773.0
0.9199999999999999,0.0,0.035,0.04,0.005,"{""BCC_B2#1"": 0.9945411212853678, ""FCC_L12#1"": 0.00068113218561416, ""HCP_A3#1"": 0.002780517351829756, ""HCP_A3#2"": 0.001997229177188183}",0.92,0.005,773.0
0.9199999999999999,0.0,0.04,0.035,0.005,"{""BCC_B2#1"": 0.9945994712347198, ""FCC_L12#1"": 0.0006730520256888046, ""HCP_A3#1"": 0.00275210294240535, ""HCP_A3#2"": 0.001975373797185929}",0.92,0.005,773.0
0.92,0.0,0.045,0.03,0.005,"{""BCC_B2#1"": 0.9946593155445884, ""FCC_L12#1"": 0.0006649374632657219, ""HCP_A3#1"": 0.0027229105155192074, ""HCP_A3#2"": 0.0019528364766266432}",0.92,0.005,773.0
0.9199999999999999,0.0,0.05,0.025,0.005,"{""BCC_B2#1"": 0.9947206742760404, ""FCC_L12#1"": 0.0006567904412397417, ""HCP_A3#1"": 0.0026929685869471866, ""HCP_A3#2"": 0.0019295666957725758}",0.92,0.005,773.0
0.92,0.0,0.055,0.02,0.005,"{""BCC_B2#1"": 0.9947835948705216, ""FCC_L12#1"": 0.0006486131213598891, ""HCP_A3#1"": 0.0026623124883637765, ""HCP_A3#2"": 0.0019054795197547107}",0.92,0.005,773.0
0.92,0.0,0.06,0.015,0.005,"{""BCC_B2#1"": 0.9948481702340126, ""FCC_L12#1"": 0.0006404079900330089, ""HCP_A3#1"": 0.002630986385601892, ""HCP_A3#2"": 0.001880435390352452}",0.92,0.005,773.0
0.92,0.0,0.065,0.01,0.005,"{""BCC_B2#1"": 0.9949145669636703, ""FCC_L12#1"": 0.0006321780140515419, ""HCP_A3#1"": 0.0025990462008039224, ""HCP_A3#2"": 0.0018542088214743091}",0.92,0.005,773.0
0.9199999999999999,0.0,0.07,0.005,0.005,"{""BCC_B2#1"": 0.9949830690450626, ""FCC_L12#1"": 0.0006239268677391756, ""HCP_A3#2"": 0.0025665638160480403, ""HCP_A3#3"": 0.0018264402711500463}",0.92,0.005,773.0
0.92,0.0,0.075,0.0,0.005,"{""BCC_B2#1"": 0.9950541446202409, ""FCC_L12#1"": 0.0006156592580370918, ""HCP_A3#2"": 0.0025336330086807614, ""HCP_A3#3"": 0.001796563113041079}",0.92,0.005,773.0
0.9199999999999999,0.005,0.0,0.07,0.005,"{""BCC_B2#1"": 0.9942235127617229, ""FCC_L12#1"": 0.0007290328270406471, ""HCP_A3#1"": 0.0029323275869429814, ""HCP_A3#2"": 0.0021151268242931426}",0.92,0.005,773.0
0.92,0.005,0.005,0.065,0.005,"{""BCC_B2#1"": 0.9942726121335458, ""FCC_L12#1"": 0.0007211993308913686, ""HCP_A3#1"": 0.002909048754407834, ""HCP_A3#2"": 0.002097139781155146}",0.92,0.005,773.0
0.92,0.005,0.01,0.06,0.005,"{""BCC_B2#1"": 0.9943232414103533, ""FCC_L12#1"": 0.0007133212446490588, ""HCP_A3#1"": 0.0028849065756520543, ""HCP_A3#2"": 0.002078530769345546}",0.92,0.005,773.0
0.92,0.005,0.015,0.055,0.005,"{""BCC_B2#1"": 0.9943753921558685, ""FCC_L12#1"": 0.0007054001381011186, ""HCP_A3#1"": 0.0020593000840776203, ""HCP_A3#2"": 0.002859907621952725}",0.92,0.005,773.0
0.9199999999999999,0.005,0.02,0.05,0.005,"{""BCC_B2#1"": 0.9944290540210095, ""FCC_L12#1"": 0.0006974375831440149, ""HCP_A3#1"": 0.00283406068454527, ""HCP_A3#2"": 0.0020394477113013535}",0.92,0.005,773.0
0.92,0.005,0.025,0.045,0.005,"{""BCC_B2#1"": 0.9944842154292448, ""FCC_L12#1"": 0.0006894351661002184, ""HCP_A3#1"": 0.00280737710844783, ""HCP_A3#2"": 0.0020189722962072037}",0.92,0.005,773.0
