V,Cr,Ti,W,Zr,_neutronics_ok,_calphad_ok,slice_V,slice_Zr,phases
0.92,0.0,0.0,0.07,0.01,True,False,0.92,0.01,"{""BCC_B2#1"": 0.9916474930235251, ""C15_LAVES#1"": 0.0020857035614254074, ""FCC_L12#1"": 0.00072576158956469, ""HCP_A3#2"": 0.0023205691542404266, ""HCP_A3#3"": 0.0032204726712445147}"
0.92,0.0,0.005,0.065,0.01,True,False,0.92,0.01,"{""BCC_B2#1"": 0.992462616243673, ""C15_LAVES#1"": 0.001219776507770693, ""FCC_L12#1"": 0.0007261005451375323, ""HCP_A3#2"": 0.002341821159364724, ""HCP_A3#3"": 0.003249685544053883}"
0.92,0.0,0.01,0.06,0.01,True,False,0.92,0.01,"{""BCC_B2#1"": 0.9933292198183342, ""C15_LAVES#1"": 0.0003008630597683111, ""FCC_L12#1"": 0.0007264267186243976, ""HCP_A3#2"": 0.0023636923330865463, ""HCP_A3#3"": 0.003279798070186276}"
0.92,0.0,0.015,0.055,0.01,True,True,0.92,0.01,"{""BCC_B2#1"": 0.9936540327243701, ""FCC_L12#1"": 0.0007261938271060808, ""HCP_A3#2"": 0.002351481551897032, ""HCP_A3#3"": 0.0032682918966267923}"
0.92,0.0,0.02,0.05,0.01,True,True,0.92,0.01,"{""BCC_B2#1"": 0.9937128026651249, ""FCC_L12#1"": 0.0007256839459581492, ""HCP_A3#2"": 0.002323881190828627, ""HCP_A3#3"": 0.003237632198088828}"
0.92,0.0,0.025,0.045,0.01,True,True,0.92,0.01,"{""BCC_B2#1"": 0.9937707141492215, ""FCC_L12#1"": 0.0007251461274602435, ""HCP_A3#2"": 0.002296836910666034, ""HCP_A3#3"": 0.0032073028126519687}"
0.92,0.0,0.03,0.04,0.01,True,True,0.92,0.01,"{""BCC_B2#1"": 0.9938277190567408, ""FCC_L12#1"": 0.0007245812707241123, ""HCP_A3#2"": 0.0022703537007163852, ""HCP_A3#3"": 0.0031773459718186176}"
0.92,0.0,0.035,0.035,0.01,True,True,0.92,0.01,"{""BCC_B2#1"": 0.9938837850891882, ""FCC_L12#1"": 0.0007239903853533639, ""HCP_A3#2"": 0.0022444240856024887, ""HCP_A3#3"": 0.003147800439856083}"
0.92,0.0,0.04,0.03,0.01,True,True,0.92,0.01,"{""BCC_B2#1"": 0.9939389000789548, ""FCC_L12#1"": 0.0007233745956031808, ""HCP_A3#2"": 0.002219023492950947, ""HCP_A3#3"": 0.00311870183249095}"
0.92,0.0,0.045,0.025,0.01,True,True,0.92,0.01,"{""BCC_B2#1"": 0.993993078882319, ""FCC_L12#1"": 0.0007227351562511034, ""HCP_A3#2"": 0.0030900832386559227, ""HCP_A3#3"": 0.002194102722773905}"
