V,Cr,Ti,W,Zr,_neutronics_ok,_calphad_ok,slice_V,slice_Zr,phases
0.92,0.0,0.0,0.065,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9769316064750885, ""C15_LAVES#1"": 0.016778787312835525, ""FCC_L12#1"": 0.0007259419823223372, ""HCP_A3#2"": 0.0023307236838652494, ""HCP_A3#3"": 0.0032329405458885892}"
0.92,0.0,0.005,0.06,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9777474452368125, ""C15_LAVES#1"": 0.01591137879236347, ""FCC_L12#1"": 0.0007262748684894443, ""HCP_A3#2"": 0.0032626027566017646, ""HCP_A3#3"": 0.0023522983457329514}"
0.92,0.0,0.01,0.055,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9786133489647251, ""C15_LAVES#1"": 0.014992446144129435, ""FCC_L12#1"": 0.0007265941732202156, ""HCP_A3#2"": 0.0023744688625714663, ""HCP_A3#3"": 0.003293141855353492}"
0.92,0.0,0.015,0.05,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9795324697417196, ""C15_LAVES#1"": 0.014018892657712747, ""FCC_L12#1"": 0.0007268988549759899, ""HCP_A3#2"": 0.002397206256298981, ""HCP_A3#3"": 0.0033245324892926774}"
0.92,0.0,0.02,0.045,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9805081517402718, ""C15_LAVES#1"": 0.012987457050870682, ""FCC_L12#1"": 0.0007271879016076202, ""HCP_A3#2"": 0.00242046850036677, ""HCP_A3#3"": 0.0033567348068830882}"
0.92,0.0,0.025,0.04,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9815439480286919, ""C15_LAVES#1"": 0.011894702521342414, ""FCC_L12#1"": 0.0007274603513723087, ""HCP_A3#2"": 0.0024441977271814443, ""HCP_A3#3"": 0.0033896913714119518}"
0.92,0.0,0.03,0.035,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9826436429684059, ""C15_LAVES#1"": 0.01073700063126014, ""FCC_L12#1"": 0.0007277153192091704, ""HCP_A3#2"": 0.0034233238894676604, ""HCP_A3#3"": 0.0024683171916573448}"
0.92,0.0,0.035,0.03,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9838112823240331, ""C15_LAVES#1"": 0.009510507469930233, ""FCC_L12#1"": 0.0007279520288923842, ""HCP_A3#2"": 0.003457530014844728, ""HCP_A3#3"": 0.0024927281622996364}"
0.92,0.0,0.04,0.025,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9850512133426497, ""C15_LAVES#1"": 0.008211129117696678, ""FCC_L12#1"": 0.0007281698513057226, ""HCP_A3#2"": 0.0034921806592935803, ""HCP_A3#3"": 0.00251730702905448}"
0.92,0.0,0.045,0.02,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9863681367171521, ""C15_LAVES#1"": 0.006834473444219187, ""FCC_L12#1"": 0.0007283683483489676, ""HCP_A3#2"": 0.0035271184431901145, ""HCP_A3#3"": 0.0025419030470896346}"
0.92,0.0,0.05,0.015,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9877671713354136, ""C15_LAVES#1"": 0.005375786009315067, ""FCC_L12#1"": 0.0007285473207895405, ""HCP_A3#2"": 0.0025663372307384103, ""HCP_A3#3"": 0.0035621581037434467}"
0.92,0.0,0.055,0.01,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9892539311043603, ""C15_LAVES#1"": 0.003829869405058971, ""FCC_L12#1"": 0.0007287068567300664, ""HCP_A3#2"": 0.0025904028829517975, ""HCP_A3#3"": 0.00359708975089895}"
0.92,0.0,0.06,0.005,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9908346115125611, ""C15_LAVES#1"": 0.0021909874586455496, ""FCC_L12#1"": 0.0007288473755881726, ""HCP_A3#2"": 0.0036316856862983584, ""HCP_A3#3"": 0.0026138679669070507}"
0.92,0.0,0.065,0.0,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9925160829980397, ""C15_LAVES#1"": 0.0004527575032086266, ""FCC_L12#1"": 0.00072896966135322, ""HCP_A3#2"": 0.0026364788804562663, ""HCP_A3#3"": 0.0036657109569420802}"
0.92,0.005,0.0,0.06,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9746573435516014, ""C15_LAVES#1"": 0.0193897912394205, ""FCC_L12#1"": 0.0007227232327867598, ""HCP_A3#2"": 0.0021822526222357494, ""HCP_A3#3"": 0.003047889353955641}"
0.92,0.005,0.005,0.055,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9753506681062885, ""C15_LAVES#1"": 0.018659239686627405, ""FCC_L12#1"": 0.0007230766230850818, ""HCP_A3#2"": 0.0030697197516628186, ""HCP_A3#3"": 0.0021972958323365583}"
0.92,0.005,0.01,0.05,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9760867902620942, ""C15_LAVES#1"": 0.017885185212139346, ""FCC_L12#1"": 0.000723420531649818, ""HCP_A3#2"": 0.0030920079254641796, ""HCP_A3#3"": 0.002212596068652476}"
0.92,0.005,0.015,0.045,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9768685992344798, ""C15_LAVES#1"": 0.01706479056367857, ""FCC_L12#1"": 0.0007237542099008802, ""HCP_A3#2"": 0.0031147294442473335, ""HCP_A3#3"": 0.0022281265476936153}"
0.92,0.005,0.02,0.04,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9776992217898778, ""C15_LAVES#1"": 0.016194991799865218, ""FCC_L12#1"": 0.0007240769358966014, ""HCP_A3#2"": 0.0031378545933246713, ""HCP_A3#3"": 0.0022438548810356407}"
0.92,0.005,0.025,0.035,0.015,True,False,0.92,0.015,"{""BCC_B2#1"": 0.9785820546453537, ""C15_LAVES#1"": 0.01527246701989832, ""FCC_L12#1"": 0.0007243880260340883, ""HCP_A3#2"": 0.0031613480108182716, ""HCP_A3#3"": 0.0022597422978955103}"
