Name,V,Cr,Ti,W,Si,Fe,Al,Zr,Mo,C,N,O,H,at/wt,Hardness(VHN),Yield_Strength(MPa),UTS,DBTT(C),Grain Size (um),Reference,DBTT Reference,DBTT Author/notes,Yield Strength Reference ,Yield Strength Author,Notes,,
V-7.2Cr-14.5Ti-0.003H,77.987,7.2,14.5,0,0.04,0.09,0,0,,0.04,0.03,0.11,0.003,wt,262.49,636,,25,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1988,https://doi.org/10.1016/0022-3115(91)90030-B,loomisEvaluationLowactivationVanadium1991,BL 10,,
V-7.2Cr-14.5Ti-0.025H,77.965,7.2,14.5,0,0.04,0.09,0,0,,0.04,0.03,0.11,0.025,wt,0,,,250,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1989,https://doi.org/10.1016/0022-3115(91)90030-B,,BL 10,,
V-17.7Ti-0.003H,82.067,0,17.7,0,0.05,0.04,0,0,,0.04,0.02,0.08,0.003,wt,247.22,599,,-40,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1990,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-17.7Ti-0.058H,82.012,0,17.7,0,0.05,0.04,0,0,,0.04,0.02,0.08,0.058,wt,0,,,57,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1991,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-9.2Cr-4.9Ti-0.003H,85.787,9.2,4.9,0,0.03,0.02,0,0,,0.03,0.01,0.02,0.003,wt,181.6,440,,-62.5,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1992,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-9.2Cr-4.9Ti-0.067H,85.723,9.2,4.9,0,0.03,0.02,0,0,,0.03,0.01,0.02,0.067,wt,0,,,55,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1993,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-4.1Cr-4.3Ti-0.003H,91.597,4.1,4.3,0,,,0,0,,,,,0.003,wt,154.36,374,,-200,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1994,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-4.1Cr-4.3Ti-0.12H,91.48,4.1,4.3,0,,,0,0,,,,,0.12,wt,0,,,-125,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1995,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-2.5Ti-1.0Si-0.003H,96.497,0,2.5,0,1,,0,0,,,,,0.003,wt,189.03,458,,-175,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1996,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-2.5Ti-1.0Si-0.097H,96.403,0,2.5,0,1,,0,0,,,,,0.097,wt,0,,,-25,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1997,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-4.6Ti-0.003H,95.397,0,4.6,0,,,0,0,,,,,0.003,wt,167.98,407,,-175,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1998,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-4.6Ti-0.0858H,95.3142,0,4.6,0,,,0,0,,,,,0.0858,wt,0,,,-160,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle1999,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-3.1Ti-0.5Si-0.003H,96.247,0,3.1,0,0.54,0.02,0,0,,0.01,0.02,0.06,0.003,wt,195.22,473,,-125,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2000,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-3.1Ti-0.5Si-0.052H,96.198,0,3.1,0,0.54,0.02,0,0,,0.01,0.02,0.06,0.052,wt,0,,,-140,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2001,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-3.1Ti-0.5Si-0.097H,96.153,0,3.1,0,0.54,0.02,0,0,,0.01,0.02,0.06,0.097,wt,0,,,-170,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2002,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-9.0Cr-3.2Fe-1.2Zr-0.003H,86.427,9,0,0,0,3.2,0,1.2,,0.07,0.06,0.04,0.003,wt,169.63,411,,-65,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2003,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-9.0Cr-3.2Fe-1.2Zr-0.05H,86.38,9,0,0,0,3.2,0,1.2,,0.07,0.06,0.04,0.05,wt,0,,,-25,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2004,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-14.5Cr-5.0Ti-0.003H,80.387,14.5,5,0,0.04,0.02,0,0,,0.01,0.01,0.03,0.003,wt,219.98,533,,-12,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2005,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-13.5Cr-5.2Ti-0.003H,80.997,13.5,5.2,0,0.04,0.05,0,0,,0.05,0.04,0.12,0.003,wt,219.57,532,,-12,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2006,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-13.5Cr-5.2Ti-0.059H,80.941,13.5,5.2,0,0.04,0.05,0,0,,0.05,0.04,0.12,0.059,wt,0,,,130,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2007,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-9.9Cr-9.2Ti-0.003H,80.767,9.9,9.2,0,0.03,0.04,0,0,,0.02,0.01,0.03,0.003,wt,220.4,534,,10,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2008,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-9.9Cr-9.2Ti-0.118H,80.652,9.9,9.2,0,0.03,0.04,0,0,,0.02,0.01,0.03,0.118,wt,0,,,155,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2009,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-7.2Cr-14.5Ti-0.003H,77.987,7.2,14.5,0,0.04,0.09,0,0,,0.04,0.03,0.11,0.003,wt,262.49,636,,25,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2010,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-7.2Cr-14.5Ti-0.04H,77.95,7.2,14.5,0,0.04,0.09,0,0,,0.04,0.03,0.11,0.04,wt,0,,,250,,loomisResponseUnirradiatedNeutronirradiated1991,https://doi-org.libproxy.mit.edu/10.1016/0022-3115(91)90205-L,loomisStrengthDuctilityDuctilebrittle2011,https://doi.org/10.1016/0022-3115(91)90030-B,,,,
V-4.275Cr-4.25Ti-0.0005H,91.4246,4.275,4.25,0,,,0,,,0.0093,0.0171,0.0235,0.0005,wt,147.59,,,-200,,sakaiMechanicalPropertiesMicrostructures2004,https://doi.org/10.1016/j.jnucmat.2004.04.089,sakaiMechanicalPropertiesMicrostructures2004,,,Hardness values taken from 17 um grains,,
V-7.17Cr-3.650Ti-0.006H,89.1336,7.17,3.65,0,,,0,,,0.0071,0.0174,0.0213,0.0006,wt,147.59,,,-183.76,,sakaiMechanicalPropertiesMicrostructures2004,https://doi.org/10.1016/j.jnucmat.2004.04.090,sakaiMechanicalPropertiesMicrostructures2005,,,,,
V-10.55Cr-4.145Ti-0.0009H,85.2398,10.55,4.145,0,,,0,,,0.0118,0.0249,0.0276,0.0009,wt,176.92,,,64.1,,sakaiMechanicalPropertiesMicrostructures2004,https://doi.org/10.1016/j.jnucmat.2004.04.091,sakaiMechanicalPropertiesMicrostructures2006,,,,,
V-12.25Cr-4.095Ti-0.0011H,83.3328,12.5,4.095,,,,0,,,0.0186,0.0249,0.0276,0.0011,wt,194.23,,,23.07,,sakaiMechanicalPropertiesMicrostructures2004,https://doi.org/10.1016/j.jnucmat.2004.04.092,sakaiMechanicalPropertiesMicrostructures2007,,,,,
V-14.46Cr-3.950Ti-0.0015H,81.499,14.46,3.95,,,,0,,,0.024,0.0382,0.0273,0.0015,wt,210.57,,,49.57,,sakaiMechanicalPropertiesMicrostructures2004,https://doi.org/10.1016/j.jnucmat.2004.04.093,sakaiMechanicalPropertiesMicrostructures2008,,,,,
V-20.1Cr-4.12Ti-0.0012H,75.717,20.1,4.12,,,,0,,,0.0165,0.022,0.0233,0.0012,wt,231.72,,,123.07,,sakaiMechanicalPropertiesMicrostructures2004,https://doi.org/10.1016/j.jnucmat.2004.04.094,sakaiMechanicalPropertiesMicrostructures2009,,,,,
