Temperature [K]	Heat capacity of the system [J/kg K]
273.15000	487.33342
283.15000	494.76683
293.15000	502.34960
303.15000	510.12016
313.15000	518.11012
323.15000	526.34595
333.15000	534.85035
343.15000	543.64335
353.15000	552.74338
363.15000	562.16803
373.15000	571.93480
383.15000	582.06173
393.15000	592.56798
403.15000	603.47438
413.15000	614.80394
423.15000	626.58241
433.15000	638.83886
443.15000	651.60629
451.76260	513.24922
451.76260	663.75733
453.15000	513.47766
463.15000	515.10199
473.15000	516.68963
483.15000	518.24350
493.15000	519.76625
503.15000	521.26023
513.15000	522.72759
523.15000	524.17027
533.15000	525.59003
543.15000	526.98848
553.15000	528.36706
563.15000	529.72711
573.15000	531.06983
583.15000	532.39635
593.15000	533.70767
603.15000	535.00474
613.15000	536.28840
623.15000	537.55945
633.15000	538.81861
643.15000	540.06657
653.15000	541.30393
663.15000	542.53128
673.15000	543.74914
673.15000	543.74914
683.15000	544.95801
693.15000	546.15835
703.15000	547.35058
713.15000	548.53510
723.15000	549.71228
733.15000	550.88246
743.15000	552.04596
753.15000	553.20309
763.15000	554.35412
773.15000	555.49931
783.15000	556.63891
793.15000	557.76502
803.15000	559.04069
813.15000	560.33240
823.15000	561.64019
833.15000	562.96407
843.15000	564.30404
853.15000	565.66012
863.15000	567.03233
873.15000	568.42068
883.15000	569.82518
893.15000	571.24583
903.15000	572.68265
913.15000	574.13565
923.15000	575.60484
933.15000	577.09022
943.15000	578.59181
953.15000	580.10961
963.15000	581.64363
973.15000	583.19387
983.15000	584.76035
993.15000	586.34307
1003.15000	587.94203
1013.15000	589.55724
1023.15000	591.18871
1033.15000	592.83645
1043.15000	594.50045
1053.15000	596.18072
1063.15000	597.87727
1073.15000	599.59010
1083.15000	601.31922
1093.15000	603.06463
1103.15000	604.82634
1113.15000	606.60434
1123.15000	608.39865
1133.15000	610.20926
1143.15000	612.03619
1153.15000	613.87943
1163.15000	615.73471
1173.15000	617.60337
1183.15000	619.48998
1193.15000	621.39452
1203.15000	623.31695
1213.15000	625.25725
1223.15000	627.21537
1233.15000	629.19131
1243.15000	631.18503
1253.15000	633.19650
1263.15000	635.22571
1273.15000	637.27262
