Temperature [K]	Density of the system [g/cm³]	Thermal conductivity of System	Thermal expansivity of the system [1/K]	Young's modulus of BCC_B2 [GPa]
273.00000	6.07021	29.39470	8.65339E-6	142.91768
283.00000	6.06862	29.43794	8.76615E-6	142.57273
293.00000	6.06702	29.47510	8.86935E-6	142.21555
303.00000	6.06540	29.50533	8.96422E-6	141.84515
313.00000	6.06376	29.52953	9.05180E-6	141.46058
323.00000	6.06210	29.54537	9.13292E-6	141.06089
333.00000	6.06044	29.55114	9.20824E-6	140.64515
343.00000	6.05876	29.54639	9.27831E-6	140.21252
353.00000	6.05706	29.53087	9.34352E-6	139.76219
363.00000	6.05536	29.50451	9.40417E-6	139.29347
373.00000	6.05365	29.46753	9.46046E-6	138.80583
383.00000	6.05192	29.42044	9.51245E-6	138.29896
393.00000	6.05019	29.36421	9.56011E-6	137.77294
403.00000	6.04845	29.30035	9.60320E-6	137.22855
413.00000	6.04671	29.23135	9.64116E-6	136.66802
423.00000	6.04496	29.16138	9.67271E-6	136.09665
433.00000	6.04320	29.09809	9.69509E-6	135.52680
443.00000	6.04144	29.05552	9.70427E-6	134.98552
453.00000	6.03968	29.05171	9.70381E-6	134.51320
463.00000	6.03793	29.08984	9.71086E-6	134.12432
473.00000	6.03616	29.15457	9.73065E-6	133.79202
483.00000	6.03440	29.23240	9.75746E-6	133.48906
493.00000	6.03263	29.31661	9.78717E-6	133.20138
503.00000	6.03086	29.40416	9.81795E-6	132.92246
513.00000	6.02908	29.49360	9.84904E-6	132.64912
523.00000	6.02730	29.58415	9.88012E-6	132.37966
533.00000	6.02551	29.67539	9.91104E-6	132.11315
543.00000	6.02371	29.76704	9.94176E-6	131.84900
553.00000	6.02191	29.85895	9.97227E-6	131.58685
563.00000	6.02011	29.95101	0.00001	131.32645
573.00000	6.01830	30.04314	0.00001	131.06764
583.00000	6.01649	30.13530	0.00001	130.81031
593.00000	6.01467	30.22745	0.00001	130.55436
603.00000	6.01284	30.31957	0.00001	130.29973
613.00000	6.01102	30.41163	0.00001	130.04639
623.00000	6.00918	30.50362	0.00001	129.79428
633.00000	6.00734	30.59553	0.00001	129.54339
643.00000	6.00550	30.68735	0.00001	129.29369
653.00000	6.00365	30.77907	0.00001	129.04515
663.00000	6.00180	30.87069	0.00001	128.79777
673.00000	5.99995	30.96220	0.00001	128.55152
683.00000	5.99808	31.05359	0.00001	128.30640
693.00000	5.99622	31.14487	0.00001	128.06238
703.00000	5.99434	31.23601	0.00001	127.81947
713.00000	5.99247	31.32702	0.00001	127.57764
723.00000	5.99059	31.41789	0.00001	127.33689
733.00000	5.98870	31.50860	0.00001	127.09719
743.00000	5.98681	31.59916	0.00001	126.85854
753.00000	5.98491	31.68954	0.00001	126.62091
763.00000	5.98300	31.77973	0.00001	126.38430
773.00000	5.98109	31.86971	0.00001	126.14867
783.00000	5.97917	31.95947	0.00001	125.91400
793.00000	5.97725	32.04899	0.00001	125.68027
803.00000	5.97531	32.13823	0.00001	125.44745
813.00000	5.97337	32.22716	0.00001	125.21548
823.00000	5.97142	32.31576	0.00001	124.98435
833.00000	5.96945	32.40397	0.00001	124.75398
843.00000	5.96747	32.49174	0.00001	124.52434
853.00000	5.96548	32.57899	0.00001	124.29535
863.00000	5.96347	32.66566	0.00001	124.06695
873.00000	5.96144	32.75163	0.00001	123.83906
873.00000	5.96144	32.75163	0.00001	123.83906
883.00000	5.95939	32.83679	0.00001	123.61157
893.00000	5.95732	32.92101	0.00001	123.38439
903.00000	5.95522	33.00412	0.00001	123.15738
913.00000	5.95309	33.08595	0.00001	122.93041
923.00000	5.95093	33.16631	0.00001	122.70332
933.00000	5.94873	33.24497	0.00001	122.47593
936.66536	5.94791	33.27333	0.00001	122.39246
936.66536	5.94791	33.27333	0.00001	122.39246
936.66536	5.94791	33.27333	0.00001	122.39246
943.00000	5.94660	33.32193	0.00001	122.25153
953.00000	5.94452	33.39721	0.00001	122.02956
955.14083	5.94408	33.41305	0.00001	121.98211
955.14083	5.94408	33.41305	0.00001	121.98211
955.14083	5.94408	33.41305	0.00001	121.98211
963.00000	5.94237	33.48810	0.00001	121.81005
973.00000	5.94019	33.58350	0.00001	121.59205
983.00000	5.93802	33.67880	0.00001	121.37510
993.00000	5.93585	33.77401	0.00001	121.15916
1003.00000	5.93368	33.86915	0.00001	120.94422
1013.00000	5.93151	33.96425	0.00001	120.73025
1023.00000	5.92934	34.05931	0.00001	120.51721
1033.00000	5.92717	34.15437	0.00001	120.30508
1043.00000	5.92500	34.24942	0.00001	120.09383
1053.00000	5.92282	34.34449	0.00001	119.88343
1063.00000	5.92064	34.43958	0.00001	119.67384
1073.00000	5.91846	34.53468	0.00001	119.46505
