nuclides,reactions,groups,xs
A_m230,"(n,2n)",1,0.0
A_m230,"(n,d)",1,0.0
A_m230,"(n,a)",1,4.884e-07
A_m230,"(n,p)",1,5.661e-07
A_m230,"(n,3n)",1,0.0
A_m230,"(n,gamma)",1,1.853
A_m230,"(n,4n)",1,0.0
A_m230,"(n,t)",1,0.0
A_m230,fission,1,0.0
A_m231,"(n,2n)",1,0.0
A_m231,"(n,d)",1,0.0
A_m231,"(n,a)",1,5.816e-05
A_m231,"(n,p)",1,0.001298
A_m231,"(n,3n)",1,0.0
A_m231,"(n,gamma)",1,17.73
A_m231,"(n,4n)",1,0.0
A_m231,"(n,t)",1,0.0
A_m231,fission,1,0.0
A_m232,"(n,2n)",1,0.0
A_m232,"(n,d)",1,0.0
A_m232,"(n,a)",1,0.1397
A_m232,"(n,p)",1,0.01298
A_m232,"(n,3n)",1,0.0
A_m232,"(n,gamma)",1,0.7546
A_m232,"(n,4n)",1,0.0
A_m232,"(n,t)",1,0.0
A_m232,fission,1,0.0
A_m233,"(n,2n)",1,0.0
A_m233,"(n,d)",1,0.0
A_m233,"(n,a)",1,6.242e-06
A_m233,"(n,p)",1,8.525e-06
A_m233,"(n,3n)",1,0.0
A_m233,"(n,gamma)",1,15.39
A_m233,"(n,4n)",1,0.0
A_m233,"(n,t)",1,0.0
A_m233,fission,1,0.0
A_m234,"(n,2n)",1,0.0
A_m234,"(n,d)",1,0.0
A_m234,"(n,a)",1,5.393e-05
A_m234,"(n,p)",1,0.00017
A_m234,"(n,3n)",1,0.0
A_m234,"(n,gamma)",1,4.718
A_m234,"(n,4n)",1,0.0
A_m234,"(n,t)",1,0.0
A_m234,fission,1,0.0
A_m235,"(n,2n)",1,0.0
A_m235,"(n,d)",1,0.0
A_m235,"(n,a)",1,3.723e-07
A_m235,"(n,p)",1,1.591e-08
A_m235,"(n,3n)",1,0.0
A_m235,"(n,gamma)",1,5.565
A_m235,"(n,4n)",1,0.0
A_m235,"(n,t)",1,0.0
A_m235,fission,1,0.0
A_m236,"(n,2n)",1,0.0
A_m236,"(n,d)",1,0.0
A_m236,"(n,a)",1,0.0001674
A_m236,"(n,p)",1,4.803e-06
A_m236,"(n,3n)",1,0.0
A_m236,"(n,gamma)",1,5.369
A_m236,"(n,4n)",1,0.0
A_m236,"(n,t)",1,0.0
A_m236,fission,1,0.0
A_m237,"(n,2n)",1,0.0
A_m237,"(n,d)",1,0.0
A_m237,"(n,a)",1,3.628e-05
A_m237,"(n,p)",1,1.521e-12
A_m237,"(n,3n)",1,0.0
A_m237,"(n,gamma)",1,54.68
A_m237,"(n,4n)",1,0.0
A_m237,"(n,t)",1,0.0
A_m237,fission,1,0.0
A_m238,"(n,2n)",1,0.0
A_m238,"(n,d)",1,0.0
A_m238,"(n,a)",1,3.564e-06
A_m238,"(n,p)",1,3.412e-09
A_m238,"(n,3n)",1,0.0
A_m238,"(n,gamma)",1,15.05
A_m238,"(n,4n)",1,0.0
A_m238,"(n,t)",1,0.0
A_m238,fission,1,0.0
A_m239,"(n,2n)",1,0.0
A_m239,"(n,d)",1,0.0
A_m239,"(n,a)",1,1.68e-07
A_m239,"(n,p)",1,0.0
A_m239,"(n,3n)",1,0.0
A_m239,"(n,gamma)",1,77.0
A_m239,"(n,4n)",1,0.0
A_m239,"(n,t)",1,0.0
A_m239,fission,1,0.0
A_m240,"(n,2n)",1,0.0
A_m240,"(n,d)",1,0.0
A_m240,"(n,a)",1,4.095e-07
A_m240,"(n,p)",1,0.0
A_m240,"(n,3n)",1,0.0
A_m240,"(n,gamma)",1,31.27
A_m240,"(n,4n)",1,0.0
A_m240,"(n,t)",1,0.0
A_m240,fission,1,0.0
A_m241,"(n,2n)",1,0.0
A_m241,"(n,d)",1,0.0
A_m241,"(n,a)",1,1.327e-07
A_m241,"(n,p)",1,0.0
A_m241,"(n,3n)",1,0.0
A_m241,"(n,gamma)",1,495.5
A_m241,"(n,4n)",1,0.0
A_m241,"(n,t)",1,0.0
A_m241,fission,1,0.0
A_m242,"(n,2n)",1,0.0
A_m242,"(n,d)",1,0.0
A_m242,"(n,a)",1,1.605e-07
A_m242,"(n,p)",1,0.0
A_m242,"(n,3n)",1,0.0
A_m242,"(n,gamma)",1,83.81
A_m242,"(n,4n)",1,0.0
A_m242,"(n,t)",1,0.0
A_m242,fission,1,0.0
A_m243,"(n,2n)",1,0.0
A_m243,"(n,d)",1,0.0
A_m243,"(n,a)",1,1.646e-09
A_m243,"(n,p)",1,0.0
A_m243,"(n,3n)",1,0.0
A_m243,"(n,gamma)",1,229.2
A_m243,"(n,4n)",1,0.0
A_m243,"(n,t)",1,0.0
A_m243,fission,1,0.0
A_m244,"(n,2n)",1,0.0
A_m244,"(n,d)",1,0.0
A_m244,"(n,a)",1,1.47e-08
A_m244,"(n,p)",1,0.0
A_m244,"(n,3n)",1,0.0
A_m244,"(n,gamma)",1,6.066
A_m244,"(n,4n)",1,0.0
A_m244,"(n,t)",1,0.0
A_m244,fission,1,0.0
A_m245,"(n,2n)",1,0.0
A_m245,"(n,d)",1,0.0
A_m245,"(n,a)",1,1.457e-08
A_m245,"(n,p)",1,0.0
A_m245,"(n,3n)",1,0.0
A_m245,"(n,gamma)",1,4.77
A_m245,"(n,4n)",1,0.0
A_m245,"(n,t)",1,0.0
A_m245,fission,1,0.0
A_m246,"(n,2n)",1,0.0
A_m246,"(n,d)",1,0.0
A_m246,"(n,a)",1,1.892e-08
A_m246,"(n,p)",1,0.0
A_m246,"(n,3n)",1,0.0
A_m246,"(n,gamma)",1,1.235
A_m246,"(n,4n)",1,0.0
A_m246,"(n,t)",1,0.0
A_m246,fission,1,0.0
A_m247,"(n,2n)",1,0.0
A_m247,"(n,d)",1,0.0
A_m247,"(n,a)",1,3.355e-10
A_m247,"(n,p)",1,0.0
A_m247,"(n,3n)",1,0.0
A_m247,"(n,gamma)",1,44.02
A_m247,"(n,4n)",1,0.0
A_m247,"(n,t)",1,0.0
A_m247,fission,1,0.0
A_m248,"(n,2n)",1,0.0
A_m248,"(n,d)",1,0.0
A_m248,"(n,a)",1,6.585e-06
A_m248,"(n,p)",1,0.0
A_m248,"(n,3n)",1,0.0
A_m248,"(n,gamma)",1,14.99
A_m248,"(n,4n)",1,0.0
A_m248,"(n,t)",1,0.0
A_m248,fission,1,0.0
A_m249,"(n,2n)",1,0.0
A_m249,"(n,d)",1,0.0
A_m249,"(n,a)",1,4.845e-06
A_m249,"(n,p)",1,0.0
A_m249,"(n,3n)",1,0.0
A_m249,"(n,gamma)",1,4.051
A_m249,"(n,4n)",1,0.0
A_m249,"(n,t)",1,0.0
A_m249,fission,1,0.0
Ac214,"(n,2n)",1,0.0
Ac214,"(n,d)",1,0.0
Ac214,"(n,a)",1,0.123
Ac214,"(n,p)",1,0.02785
Ac214,"(n,3n)",1,0.0
Ac214,"(n,gamma)",1,17.45
Ac214,"(n,4n)",1,0.0
